"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1442","06037106645",0.2437,0.1479,0.259,0.0776,0.102,2020,"CA"
"1443","06037106646",0.3419,0.4837,0.4831,0.2589,0.3458,2020,"CA"
"1444","06037106648",0.6558,0.9803,0.9381,0.8744,0.9058,2020,"CA"
"1445","06037106649",0.5582,0.823,0.8624,0.4111,0.637,2020,"CA"
"1446","06037107010",0.7573,0.7358,0.9528,0.3477,0.7004,2020,"CA"
"1447","06037107020",0.7656,0.6993,0.9213,0.4409,0.7181,2020,"CA"
"1448","06037108101",0.2031,0.2391,0.2863,0.0435,0.0871,2020,"CA"
"1449","06037108102",0.3603,0.8717,0.4796,0.1774,0.4189,2020,"CA"
"1450","06037108103",0.0728,0.1572,0.3101,0.0061,0.0145,2020,"CA"
"1451","06037108104",0.1064,0.3724,0.2024,0.083,0.0922,2020,"CA"
"1452","06037108202",0.1957,0.3772,0.5801,0.108,0.1851,2020,"CA"
"1453","06037108203",0.1553,0.5861,0.5545,0.0113,0.115,2020,"CA"
"1454","06037108204",0.0686,0.6666,0.3954,0.0605,0.13,2020,"CA"
"1455","06037109100",0.6075,0.702,0.5654,0.9919,0.8411,2020,"CA"
"1456","06037109200",0.1917,0.2987,0.6414,0.4413,0.3113,2020,"CA"
"1457","06037109300",0.2951,0.646,0.5267,0.2765,0.3733,2020,"CA"
"1458","06037109400",0.408,0.4868,0.7828,0.516,0.5036,2020,"CA"
"1459","06037109500",0.8451,0.8991,0.9469,0.4902,0.835,2020,"CA"
"1460","06037109601",0.5837,0.21,0.6502,0.1276,0.3528,2020,"CA"
"1461","06037109603",0.7031,0.9601,0.7801,0.4579,0.7671,2020,"CA"
"1462","06037109604",0.5433,0.497,0.737,0.2479,0.474,2020,"CA"
"1463","06037109700",0.5357,0.5621,0.4741,0.29,0.4686,2020,"CA"
"1464","06037109800",0.5587,0.6904,0.5573,0.578,0.6145,2020,"CA"
"1465","06037111100",0.4348,0.1539,0.5691,0.3355,0.3404,2020,"CA"
"1466","06037111201",0.3903,0.2145,0.4412,0.1703,0.2568,2020,"CA"
"1467","06037111202",0.5406,0.3069,0.4431,0.7892,0.5705,2020,"CA"
"1468","06037111204",0.1477,0.3452,0.363,0.043,0.0905,2020,"CA"
"1469","06037111205",0.2387,0.6895,0.4917,0.2028,0.3199,2020,"CA"
"1470","06037111206",0.1798,0.4297,0.3503,0.2649,0.2396,2020,"CA"
"1471","06037111302",0.5547,0.5615,0.4412,0.9703,0.7286,2020,"CA"
"1472","06037111303",0.4883,0.5967,0.3961,0.5876,0.5424,2020,"CA"
"1473","06037111304",0.6593,0.1781,0.7156,0.4924,0.5363,2020,"CA"
"1474","06037111401",0.1515,0.5942,0.3615,0.2542,0.2588,2020,"CA"
"1475","06037111402",0.9025,0.9214,0.4998,0.9294,0.943,2020,"CA"
